"year","source","item","value","Reference"
2001,"Current study","Surplus_MtPperYr",6.1883090462,"FAO (2022) Cropland Nutrient Budget (current study)"
2001,"Current study","PUE_pc",68.6234,"FAO (2022) Cropland Nutrient Budget (current study)"
2012,"Current study","Input_MtPperYr",24.9140918529,"FAO (2022) Cropland Nutrient Budget (current study)"
2012,"Current study","Output_MtPperYr",17.3301176129,"FAO (2022) Cropland Nutrient Budget (current study)"
2012,"Current study","Surplus_MtPperYr",7.58397424,"FAO (2022) Cropland Nutrient Budget (current study)"
2012,"Current study","PUE_pc",69.5595,"FAO (2022) Cropland Nutrient Budget (current study)"
2003,"Current study","Input_MtPperYr",20.6868944413,"FAO (2022) Cropland Nutrient Budget (current study)"
2003,"Current study","Output_MtPperYr",13.7156127443,"FAO (2022) Cropland Nutrient Budget (current study)"
2003,"Current study","Surplus_MtPperYr",6.971281697,"FAO (2022) Cropland Nutrient Budget (current study)"
2003,"Current study","PUE_pc",66.301,"FAO (2022) Cropland Nutrient Budget (current study)"
2010,"Current study","Input_MtPperYr",24.4347786727,"FAO (2022) Cropland Nutrient Budget (current study)"
2010,"Current study","Output_MtPperYr",16.7783743668,"FAO (2022) Cropland Nutrient Budget (current study)"
2010,"Current study","Surplus_MtPperYr",7.6564043059,"FAO (2022) Cropland Nutrient Budget (current study)"
2010,"Current study","PUE_pc",68.666,"FAO (2022) Cropland Nutrient Budget (current study)"
2019,"Current study","Input_MtPperYr",25.7466762936,"FAO (2022) Cropland Nutrient Budget (current study)"
2019,"Current study","Output_MtPperYr",20.3365168077,"FAO (2022) Cropland Nutrient Budget (current study)"
2019,"Current study","Surplus_MtPperYr",5.4101594859,"FAO (2022) Cropland Nutrient Budget (current study)"
2019,"Current study","PUE_pc",78.987,"FAO (2022) Cropland Nutrient Budget (current study)"
2020,"Current study","Input_MtPperYr",27.3335730813,"FAO (2022) Cropland Nutrient Budget (current study)"
2020,"Current study","Output_MtPperYr",20.5972974232,"FAO (2022) Cropland Nutrient Budget (current study)"
2020,"Current study","Surplus_MtPperYr",6.7362756582,"FAO (2022) Cropland Nutrient Budget (current study)"
2020,"Current study","PUE_pc",75.3553,"FAO (2022) Cropland Nutrient Budget (current study)"
1961,"Zou et al (2022)","Input_MtPperYr",7.69304449466114,"Zou et al (2022)"
1961,"Zou et al (2022)","Output_MtPperYr",4.31967278106029,"Zou et al (2022)"
1961,"Zou et al (2022)","Surplus_MtPperYr",3.37337171360085,"Zou et al (2022)"
1961,"Zou et al (2022)","PUE_pc",56.1503678297725,"Zou et al (2022)"
1962,"Zou et al (2022)","Input_MtPperYr",8.02985174652647,"Zou et al (2022)"
1962,"Zou et al (2022)","Output_MtPperYr",4.53600686008164,"Zou et al (2022)"
1962,"Zou et al (2022)","Surplus_MtPperYr",3.49384488644483,"Zou et al (2022)"
1962,"Zou et al (2022)","PUE_pc",56.4892977263722,"Zou et al (2022)"
1963,"Zou et al (2022)","Input_MtPperYr",8.61888851291485,"Zou et al (2022)"
1963,"Zou et al (2022)","Output_MtPperYr",4.56597499960751,"Zou et al (2022)"
1963,"Zou et al (2022)","Surplus_MtPperYr",4.05291351330734,"Zou et al (2022)"
1963,"Zou et al (2022)","PUE_pc",52.9763784827439,"Zou et al (2022)"
1964,"Zou et al (2022)","Input_MtPperYr",9.21627257852312,"Zou et al (2022)"
1964,"Zou et al (2022)","Output_MtPperYr",4.81759895895693,"Zou et al (2022)"
1964,"Zou et al (2022)","Surplus_MtPperYr",4.39867361956619,"Zou et al (2022)"
1964,"Zou et al (2022)","PUE_pc",52.2727482060751,"Zou et al (2022)"
1965,"Zou et al (2022)","Input_MtPperYr",9.86050371257416,"Zou et al (2022)"
